statename,state,Y2005,Y2010,Y2015,Y2020,total
Alabama,1,10,3,9,9,375
Alaska,2,0,0,0,0,2
Arizona,4,113,167,103,12,1940
Arkansas,5,28,7,18,1,352
California,6,880,111,783,235,7261
Colorado,8,106,81,101,35,5683
Connecticut,9,6,11,10,8,166
Delaware,10,2,0,6,0,52
District of Columbia,11,5,6,5,0,125
Florida,12,21,12,13,51,455
Georgia,13,20,13,15,8,495
Hawaii,15,0,0,0,0,1
Idaho,16,13,1,13,6,1384
Illinois,17,252,61,77,42,2704
Indiana,18,23,13,21,3,727
Iowa,19,37,9,14,3,622
Kansas,20,25,19,34,8,685
Kentucky,21,5,3,2,0,194
Louisiana,22,171,27,51,18,1859
Maine,23,0,0,1,1,5
Maryland,24,5,23,45,1,393
Massachusetts,25,6,7,10,12,218
Michigan,26,62,29,18,32,1350
Minnesota,27,45,8,9,0,825
Mississippi,28,70,8,38,7,1448
Missouri,29,30,3,29,1,620
Montana,30,25,0,3,1,622
Nebraska,31,188,39,68,15,4015
Nevada,32,31,2,7,1,428
New Hampshire,33,0,1,0,0,7
New Jersey,34,6,30,26,3,324
New Mexico,35,33,25,14,8,660
New York,36,38,128,57,22,995
North Carolina,37,4,0,4,1,83
North Dakota,38,86,9,23,7,1924
Ohio,39,61,5,35,3,1049
Oklahoma,40,31,1,89,7,826
Oregon,41,7,0,1,1,190
Pennsylvania,42,25,28,30,11,707
Rhode Island,44,1,0,0,0,22
South Carolina,45,5,1,0,4,111
South Dakota,46,229,20,40,20,2633
Tennessee,47,18,4,8,0,330
Texas,48,195,89,275,122,5712
Utah,49,52,2,8,2,456
Vermont,50,0, 0,0,0,16
Virginia,51,1,5, 21,2,232
Washington,53,0,2,24,2,119
West Virginia,54,0,0,0,0,24
Wisconsin,55,17,2,9,5,343
Wyoming,56,12,6,8,1,762
