county,percent
Alameda,7
Alpine,7
Amador,17
Butte,10
Calaveras,11
Colusa,16
Contra Costa,9
Del Norte,17
El Dorado,8
Fresno,10
Glenn,11
Humboldt,10
Imperial,9
Inyo,12
Kern,10
Kings,13
Lake,11
Lassen,15
Los Angeles,9
Madera,12
Marin,8
Mariposa,8
Mendocino,11
Merced,13
Modoc,12
Mono,11
Monterey,9
Napa,10
Nevada,6
Orange,9
Placer,7
Plumas,7
Riverside,10
Sacramento,9
San Benito,10
San Bernardino,10
San Diego,8
San Francisco,6
San Joaquin,10
San Luis Obispo,9
San Mateo,8
Santa Barbara,8
Santa Clara,9
Santa Cruz,6
Shasta,12
Sierra,7
Siskiyou,10
Solano,9
Sonoma,8
Stanislaus,10
Sutter,13
Tehama,11
Trinity,10
Tulare,11
Tuolumne,8
Ventura,9
Yolo,8
Yuba,13
