Date,PM10,PM2.5
1/2/2020,17.6,4.9
1/3/2020,24.2,6.9
1/4/2020,50.8,30.2
1/5/2020,34,21.1
1/6/2020,61.2,33.7
1/7/2020,51.9,23.1
1/8/2020,52.4,27.3
1/9/2020,54.5,27.6
1/10/2020,37.7,15.1
1/11/2020,40.8,20.1
1/12/2020,44.4,25
1/13/2020,42.7,23
1/14/2020,43.4,20.6
1/15/2020,39.9,18.7
1/16/2020,46.9,25.4
1/17/2020,32.9,17.7
1/18/2020,51.4,29
1/19/2020,51.4,29
1/20/2020,30.3,11.8
1/21/2020,39.8,21.8
1/22/2020,50.7,28.4
1/23/2020,47.1,18.4
1/24/2020,37.8,12.2
1/25/2020,46,17
1/26/2020,35.1,11.2
1/27/2020,39.9,10.9
1/28/2020,31.3,7.7
1/29/2020,39,11
1/30/2020,34.1,5.2
1/31/2020,37.9,7.8
2/4/2020,35.7,5
2/5/2020,38,4.7
2/6/2020,32.3,5.5
2/7/2020,51.4,15.3
2/8/2020,45.9,13.3
2/9/2020,48.8,14.3
2/10/2020,58.2,16.4
2/11/2020,68.5,19.6
2/12/2020,61.7,13.9
2/13/2020,64.2,18.8
2/14/2020,63.1,27.4
2/15/2020,59.3,31.3
2/16/2020,50.5,16.9
2/17/2020,53.3,13
2/18/2020,55.8,16.4
2/19/2020,51.4,29
2/20/2020,51.4,29
2/21/2020,51.4,29
2/22/2020,51.4,29
2/23/2020,51.4,29
2/24/2020,51.4,29
2/25/2020,51.4,29
2/26/2020,51.4,29
2/27/2020,51.4,29
2/28/2020,64,38
2/29/2020,40.1,20
3/1/2020,44.5,24.8
3/2/2020,40.2,20.9
3/3/2020,28.9,13.3
3/4/2020,28.3,11
3/5/2020,49.2,21.8
3/6/2020,61.5,36.1
3/7/2020,42.4,29
3/8/2020,51.4,29
3/9/2020,51.4,29
3/10/2020,50.3,25.9
3/11/2020,49.9,27.9
3/12/2020,46.9,20.7
3/13/2020,43.8,18.5
3/14/2020,38.7,16.5
3/15/2020,34.8,18.1
3/16/2020,31.4,17.2
3/17/2020,33.4,19.9
3/18/2020,41.9,25.2
3/19/2020,38.4,21.8
3/20/2020,39.2,22.4
3/21/2020,36.5,23.5
3/22/2020,32.8,19.6
3/23/2020,33,17.7
3/24/2020,40.8,22.5
3/25/2020,40.1,20.4
3/26/2020,48.2,27.3
3/27/2020,39.5,19.3
3/28/2020,49.1,27.3
3/29/2020,53.8,27.7
3/30/2020,53.5,29.8
3/31/2020,48.8,21.2
4/1/2020,46.1,26.6
4/2/2020,42.8,24.5
4/3/2020,31.8,19.2
4/4/2020,26.6,17.3
4/5/2020,29.1,17.4
4/6/2020,35.8,21.3
4/7/2020,33.2,20
4/8/2020,37.7,22.4
4/9/2020,33.7,23.7
4/10/2020,30.6,20.9
4/11/2020,38.6,24
4/12/2020,33.2,19.8
4/13/2020,38.6,24.1
4/14/2020,50,27.7
4/15/2020,48.7,34.9
4/16/2020,52.3,33.1
4/17/2020,51.8,32
4/18/2020,48,31.9
4/19/2020,55.7,40.5
4/20/2020,45.9,27.1
4/21/2020,64.1,26.3
4/22/2020,32.3,21.7
4/23/2020,30.3,19
4/24/2020,38.7,26.9
4/25/2020,36.5,25.2
4/26/2020,26.7,17.8
4/27/2020,23.1,12.1
4/28/2020,28.8,15.9
4/29/2020,31,17.8
4/30/2020,27.2,13.3
5/1/2020,26,10.4
5/2/2020,51.4,29
5/3/2020,51.4,29
5/4/2020,51.4,29
5/5/2020,51.4,29
5/6/2020,51.4,29
5/7/2020,51.4,29
5/8/2020,27.7,22
5/9/2020,45.6,40.8
5/10/2020,35.7,32.4
5/11/2020,28.6,28.2
5/12/2020,51.4,29
5/13/2020,51.4,29
5/14/2020,51.4,29
5/15/2020,51.4,29
5/16/2020,51.4,29
5/17/2020,51.4,29
5/18/2020,51.4,29
5/19/2020,29.1,16.9
5/20/2020,50.7,35.7
5/21/2020,63.9,48.8
5/22/2020,48.9,35.7
5/23/2020,37.8,26
5/24/2020,36.6,27.2
5/25/2020,33,21.4
5/26/2020,42.8,29.5
5/27/2020,62.9,44.8
5/28/2020,47.5,32.3
5/29/2020,29,20.5
5/30/2020,21.5,14
5/31/2020,23.6,17.1
6/1/2020,28.5,23.7
6/2/2020,51.4,29
6/3/2020,51.4,29
